Year,GNI per capita (constant 2010 US$),Deposit interest rate (%),"Foreign direct investment, net inflows (BoP, current US$)",Cost to import (US$ per container),GDP per capita (constant 2010 US$),Electric power consumption (kWh per capita),Household final consumption expenditure per capita (constant 2010 US$),Trade (constant 2010 US$),"Unemployment, total (% of total labor force) (national estimate)",Merchandise imports from high-income economies (% of total merchandise imports),Trade in services (constant 2010 US$),Gross domestic savings (constant 2010 US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Lending interest rate (%),Household final consumption expenditure per capita (% change),Trade in services (% change),Electric power consumption (% change),"Foreign direct investment, net inflows (% change)",Gross domestic savings (% change),GNI per capita (% change),Cost to import (% change),Trade (% change),GDP per capita (% change)
1990,32739.22,4.5,13183285334.81,,32597.95,5940.75,17640.36,809217822013.7,9.4,76.13,209485915658.38,448070191705.33,3.5,76.6,10.57,2.01,8.3,1.79,27.94,3.12,2.32,,-0.03,2.33
1991,33041.53,4.5,15152742089.84,,32910.52,6359.77,17744.53,822284405665.85,9.2,76.71,219853106528.19,446260701794.85,3.38,76.85,10.22,0.59,4.95,7.05,14.94,-0.4,0.92,,1.61,0.96
1992,33469.33,4.5,21839501253.07,,33271.13,6475.79,17862.04,815667065011.12,10.3,76.49,230820985667.38,440327524702.16,3.22,77.1,10.0,0.66,4.99,1.82,44.13,-1.33,1.29,,-0.8,1.1
1993,33156.33,4.5,20754044035.68,,32924.32,6453.0,17781.4,770081834029.79,11.4,77.72,229245853578.84,410329824156.07,2.37,77.3,8.9,-0.45,-0.68,-0.35,-4.97,-6.81,-0.94,,-5.59,-1.04
1994,33738.41,4.5,15797125294.99,,33571.33,6530.41,18017.33,826056922916.37,12.7,75.76,206619499384.65,431302719962.5,2.11,77.65,7.89,1.33,-9.87,1.2,-23.88,5.11,1.76,,7.27,1.97
1995,34306.13,4.5,23736300874.02,,34147.74,6621.94,18267.95,879815938575.6,11.9,76.8,210502712642.42,446105726395.65,1.66,77.75,8.12,1.39,1.88,1.4,50.26,3.43,1.68,,6.51,1.72
1996,34825.35,3.67,21971888803.0,,34499.34,6905.16,18558.71,905726342509.22,12.4,76.68,212223468200.49,437570394618.24,1.78,77.95,6.77,1.59,0.82,4.28,-7.43,-1.91,1.51,,2.94,1.03
1997,35634.68,3.5,23047924754.76,,35181.03,6833.14,18609.76,1003787545049.1,12.6,75.78,224333461092.18,469430671760.59,2.0,78.3,6.34,0.28,5.71,-1.04,4.9,7.28,2.32,,10.83,1.98
1998,36788.25,3.21,29518429032.21,,36298.09,7015.5,19287.73,1070602387203.02,12.2,77.43,238564922605.09,506000544076.54,1.22,78.6,6.55,3.64,6.34,2.67,28.07,7.79,3.24,,6.66,3.18
1999,38112.04,2.69,45986859387.45,,37342.21,7149.3,19860.64,1112213375243.99,12.2,88.23,297354540486.3,530026715872.3,0.6,78.76,6.36,2.97,24.64,1.91,55.79,4.75,3.6,,3.89,2.88
2000,39246.65,2.62,41382267637.17,,38524.51,7225.02,20449.68,1296729423829.78,10.2,87.53,310821366012.5,550843279234.04,0.53,79.06,6.7,2.97,4.53,1.06,-10.01,3.93,2.98,,16.59,3.17
2001,39695.65,3.0,50126614944.01,,38992.63,7342.26,20818.07,1299519438428.0,8.6,87.33,324539065048.76,558509707096.6,1.7,79.16,6.98,1.8,4.41,1.62,21.13,1.39,1.14,,0.22,1.22
2002,39543.13,3.0,51493238175.36,,39143.05,7299.31,21096.23,1268060338396.58,8.7,87.25,334767271623.81,553853679099.87,1.63,79.26,6.6,1.34,3.15,-0.58,2.73,-0.83,-0.38,,-2.42,0.39
2003,39678.07,2.69,42324928757.88,,39185.11,7529.6,21263.48,1222755377122.86,8.5,87.12,310895034536.11,541187823873.04,1.92,79.11,6.6,0.79,-7.13,3.15,-17.8,-2.29,0.34,,-3.57,0.11
2004,40564.71,2.25,35581202492.28,,39981.5,7661.51,21528.98,1283521534248.59,8.9,86.66,316681532020.87,562192613957.72,2.11,80.16,6.6,1.25,1.86,1.75,-15.93,3.88,2.23,,4.97,2.03
2005,41023.72,2.15,85179159787.32,1295.0,40319.21,7655.54,21904.32,1353963436337.64,8.9,84.94,332469796530.25,559430213614.17,2.13,80.16,,1.74,4.99,-0.08,139.39,-0.49,1.13,,5.49,0.84
2006,41810.45,2.44,78945704919.9,1295.0,40989.99,7543.05,22232.15,1439194904106.29,8.8,85.48,349620868410.33,582539546139.67,1.74,80.81,,1.5,5.16,-1.47,-7.32,4.13,1.92,0.0,6.29,1.66
2007,42565.54,2.85,83780962091.27,1295.0,41699.17,7519.06,22646.39,1482803636701.59,8.0,85.08,367119035615.77,609172269832.52,1.68,81.11,,1.86,5.0,-0.32,6.12,4.57,1.81,0.0,3.03,1.73
2008,42431.54,3.67,67999194663.21,1395.0,41547.77,7646.21,22619.76,1511807505860.09,7.4,83.98,383532265031.75,597421605595.85,1.49,81.21,,-0.12,4.47,1.69,-18.84,-1.93,-0.31,7.72,1.96,-0.36
2009,40837.9,1.92,18380195792.77,1395.0,40118.77,7340.67,22551.63,1286764921883.83,9.1,84.1,356707952728.74,516078780052.43,2.81,81.41,,-0.3,-6.99,-4.0,-72.97,-13.62,-3.76,0.0,-14.89,-3.44
2010,41536.67,1.46,38899924637.72,1395.0,40705.77,7737.02,22853.64,1428541721854.3,9.3,83.34,383395141903.87,530173509933.77,0.09,81.66,,1.34,7.48,5.4,111.64,2.73,1.71,0.0,11.02,1.46
2011,42296.86,2.08,44191741839.76,1445.0,41351.65,7233.68,22851.41,1571744988951.41,9.2,82.74,415036449813.48,557931321131.34,1.53,82.11,,-0.01,8.25,-6.51,13.6,5.24,1.83,3.58,10.02,1.59
2012,41807.04,2.25,32950453827.85,1445.0,41227.18,7364.4,22691.5,1602535599812.67,9.8,83.36,441159597915.02,554663296599.27,2.12,81.97,,-0.7,6.29,1.81,-25.44,-0.59,-1.16,0.0,1.96,-0.3
2013,41841.03,,31589259642.15,1445.0,41268.46,7373.98,22695.61,1609004471732.16,9.9,83.44,466319790290.91,556081663625.04,1.96,82.22,,0.02,5.7,0.13,-4.13,0.26,0.08,0.0,0.4,0.1
