Year,Electric power consumption (kWh per capita),Trade in services (constant 2010 US$),Cost to import (US$ per container),Household final consumption expenditure per capita (constant 2010 US$),Deposit interest rate (%),Gross domestic savings (constant 2010 US$),"Inflation, consumer prices (annual %)",GNI per capita (constant 2010 US$),"Life expectancy at birth, total (years)",Merchandise imports from high-income economies (% of total merchandise imports),Trade (constant 2010 US$),Lending interest rate (%),"Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (constant 2010 US$),"Unemployment, total (% of total labor force) (national estimate)",Household final consumption expenditure per capita (% change),Trade in services (% change),Electric power consumption (% change),"Foreign direct investment, net inflows (% change)",Gross domestic savings (% change),GNI per capita (% change),Cost to import (% change),Trade (% change),GDP per capita (% change)
1990,4144.91,133074710183.78,,18439.56,6.8,393595138039.83,6.22,30435.18,76.97,75.67,637321443761.26,14.85,6410685449.36,30841.11,9.8,1.96,20.89,3.44,196.01,4.04,1.22,,-0.03,1.9
1991,4224.74,119367125294.67,,18920.38,6.64,393271328627.97,6.5,30827.86,77.02,76.45,603595049452.21,14.67,2400685993.41,31293.92,10.1,2.61,-10.3,1.93,-62.55,-0.08,1.29,,-5.29,1.47
1992,4310.54,146896983209.51,,19233.74,7.11,382700920532.12,6.3,31016.26,77.42,77.89,627229396732.71,16.52,3104520913.54,31533.57,9.3,1.66,23.06,2.03,29.32,-2.69,0.61,,3.92,0.77
1993,4303.65,157363649300.62,,18637.63,7.79,388970384529.84,5.08,30807.2,77.72,79.18,672567165076.63,14.63,3748776013.27,31245.54,10.2,-3.1,7.13,-0.16,20.75,1.64,-0.67,,7.23,-0.91
1994,4439.32,158769685611.38,,18919.16,6.2,400692797382.72,4.48,31414.11,77.92,79.12,736084706860.79,11.98,2199180295.33,31911.14,11.1,1.51,0.89,3.15,-41.34,3.01,1.97,,9.44,2.13
1995,4597.89,169730467636.41,,19207.76,6.45,438342836789.35,4.03,32427.68,78.17,78.92,855233024133.17,13.24,4841781426.0,32831.84,11.7,1.53,6.9,3.57,120.16,9.4,3.23,,16.19,2.89
1996,4658.7,162922214569.93,,19404.66,6.49,447628583509.32,5.24,32917.37,78.52,78.01,812509054222.53,12.82,3545881094.1,33244.83,11.9,1.03,-4.01,1.32,-26.76,2.12,1.51,,-5.0,1.26
1997,4791.29,179409810967.17,,20031.29,4.83,442519734367.82,3.97,33679.54,78.82,77.71,860125706751.58,10.51,3699857611.8,33837.09,12.0,3.23,10.12,2.85,4.34,-1.14,2.32,,5.86,1.78
1998,4955.72,189601728012.65,,20683.34,3.16,440604097061.6,2.04,34180.7,78.98,78.85,884358834605.27,8.64,2634605953.58,34374.03,12.1,3.26,5.68,3.43,-28.79,-0.43,1.49,,2.82,1.59
1999,5079.49,186219215643.34,,21205.61,1.61,432697564289.57,1.96,34834.99,79.42,83.35,888522199394.7,6.35,6942860356.75,34904.34,11.7,2.53,-1.78,2.5,163.53,-1.79,1.91,,0.47,1.54
2000,5299.86,203503705442.09,,21689.16,1.84,444176544474.5,1.66,36038.06,79.78,80.19,1039942891233.89,7.02,13176403310.9,36182.93,10.8,2.28,9.28,4.34,89.78,2.65,3.45,,17.04,3.66
2001,5406.49,208781722438.96,,21810.72,1.96,459732155696.44,2.52,36681.9,80.13,80.37,1052788775322.32,7.29,14873909552.71,36803.48,9.6,0.56,2.59,2.01,12.88,3.5,1.79,,1.24,1.72
2002,5539.7,206995340307.57,,21786.24,1.43,465869909594.99,2.79,36662.3,80.23,80.48,1013158185947.16,6.54,14699160476.56,36840.06,9.2,-0.11,-0.86,2.46,-1.17,1.34,-0.05,,-3.76,0.1
2003,5652.52,196869449856.66,,21868.85,0.95,453008554082.19,2.46,36538.84,79.98,80.4,974064984967.16,5.83,16537792207.38,36732.16,8.9,0.38,-4.89,2.04,12.51,-2.76,-0.34,,-3.86,-0.29
2004,5688.0,199829525781.32,,21941.78,,465199669229.31,2.68,36995.1,80.78,78.99,1016740492176.48,5.51,16791130464.54,37072.54,7.9,0.33,1.5,0.63,1.53,2.69,1.25,,4.38,0.93
2005,5731.1,210033404756.06,1217.0,22116.32,,453206607095.0,2.22,37280.28,80.78,76.52,1066770394482.47,5.31,19636818499.03,37241.15,7.7,0.8,5.11,0.76,16.95,-2.58,0.77,,4.92,0.45
2006,5833.47,228109560345.3,1217.0,22369.5,,463722857144.72,2.0,37998.41,81.28,74.06,1173586350849.15,5.62,39007009353.86,37874.42,6.8,1.14,8.61,1.79,98.64,2.32,1.93,0.0,10.01,1.7
2007,5804.33,239523432797.29,1217.0,22515.24,,487732204603.58,2.07,38244.26,81.43,73.55,1233819001007.8,6.33,40042891549.59,38239.07,6.1,0.65,5.0,-0.5,2.66,5.18,0.65,0.0,5.13,0.96
2008,5757.96,229857544817.29,1231.0,22124.7,,464173642289.44,1.82,37225.98,81.49,70.74,1209899522165.86,6.84,-9500316172.96,37587.58,6.7,-1.73,-4.04,-0.8,-123.73,-4.83,-2.66,1.15,-1.94,-1.7
2009,5368.39,197894530944.05,1231.0,21680.76,,391585172345.63,3.38,35324.83,81.64,73.41,953201986337.64,4.76,16574423267.73,35365.51,7.7,-2.01,-13.91,-6.77,-274.46,-15.64,-5.11,0.0,-21.22,-5.91
2010,5493.71,213731968294.05,1245.0,21873.4,,394615408211.92,0.75,35758.19,82.04,71.65,1112440687417.22,4.03,9937474797.03,35851.51,8.4,0.89,8.0,2.33,-40.04,0.77,1.23,1.14,16.71,1.37
2011,5514.8,215590065014.91,1245.0,21833.21,,403804268869.03,1.54,35877.3,82.19,71.18,1188052531939.49,4.6,34443576599.82,35996.28,8.4,-0.18,0.87,0.38,246.6,2.33,0.33,0.0,6.8,0.4
2012,5397.74,217523057158.16,1145.0,20914.53,,391538273612.78,2.74,34815.37,82.24,71.23,1167063608394.91,5.22,34812127.56,34887.37,10.7,-4.21,0.9,-2.12,-99.9,-3.04,-2.96,-8.03,-1.77,-3.08
2013,5159.18,214062886314.39,1145.0,20165.48,,392207219579.03,3.04,33808.41,82.69,71.64,1132232513913.57,5.14,19530574590.52,33889.32,12.1,-3.58,-1.59,-4.42,56002.79,0.17,-2.89,0.0,-2.98,-2.86
